log10(p=p_0/q**k);log10(T_2(p))
7.0;-0.11307021981220675
6.869666207618796;-0.24387717050869717
6.739332427397838;-0.37592669215808344
6.608998686605393;-0.5043474491963498
6.478664886054566;-0.6342301989035172
6.3483311536223574;-0.7681462136482758
6.21799716117733;-0.898684696703235
6.087663603000609;-1.0260922673995208
5.957329479593437;-1.1574149717342264
5.826995567358922;-1.2882158692940517
5.696662122277744;-1.4184226024567819
5.566327873513115;-1.548925715766409
5.435993987133666;-1.6801729025315437
5.305660855214273;-1.8084036301944275
5.1753262273419685;-1.9401186449960075
5.044990283540575;-2.0719393701018114
4.914655144596951;-2.199985989290239
4.78432481200424;-2.328811508169253
4.6539839073740685;-2.4626978340701964
4.523655437470631;-2.5930420759490684
4.3933119147002;-2.765042823895133
